Proteins,Degree,Closeness,Betweenness,Eigenvector,Harmonic,Hub_Score,Authority_Score,Page_Rank,Power_Centrality
ENSP00000249396,6.000,0.220,1679.499,0.000,0.223,0.000,0.000,0.000,0.000
ENSP00000249442,30.000,0.231,11758.878,0.000,0.235,0.000,0.000,0.000,0.000
ENSP00000249501,26.000,0.229,35414.734,0.000,0.234,0.000,0.000,0.000,0.000
ENSP00000249647,12.000,0.210,6723.291,0.000,0.212,0.000,0.000,0.000,0.000
ENSP00000249700,32.000,0.239,45398.191,0.000,0.245,0.000,0.000,0.000,0.000
ENSP00000249749,20.000,0.251,14107.903,0.000,0.257,0.000,0.000,0.000,0.000
ENSP00000249750,12.000,0.227,25827.182,0.000,0.231,0.000,0.000,0.000,0.000
ENSP00000249776,46.000,0.242,46673.045,0.000,0.248,0.000,0.000,0.000,0.000
ENSP00000249806,36.000,0.247,40032.415,0.000,0.252,0.000,0.000,0.000,0.000
ENSP00000249887,2.000,0.174,0.000,0.000,0.173,0.000,0.000,0.000,0.000
ENSP00000249910,12.000,0.211,43033.154,0.000,0.212,0.000,0.000,0.000,0.000
ENSP00000249923,10.000,0.211,2484.729,0.002,0.214,0.002,0.002,0.000,0.000
ENSP00000250003,24.000,0.215,40199.277,0.005,0.219,0.005,0.005,0.000,0.000
ENSP00000250018,20.000,0.221,45193.667,0.005,0.226,0.005,0.005,0.000,0.000
ENSP00000250024,24.000,0.218,43493.051,0.000,0.221,0.000,0.000,0.000,0.000
ENSP00000250056,16.000,0.230,35118.844,0.002,0.234,0.002,0.002,0.000,0.000
ENSP00000250076,42.000,0.253,190718.365,0.006,0.261,0.006,0.006,0.000,0.000
ENSP00000250092,14.000,0.203,208.541,0.000,0.205,0.000,0.000,0.000,0.000
ENSP00000250111,38.000,0.224,55593.768,0.002,0.230,0.002,0.002,0.000,0.000
ENSP00000250113,196.000,0.284,957017.757,0.001,0.296,0.001,0.001,0.001,0.001
ENSP00000250124,26.000,0.218,17859.268,0.000,0.221,0.000,0.000,0.000,0.000
ENSP00000250160,74.000,0.260,328534.105,0.000,0.267,0.000,0.000,0.000,0.000
ENSP00000250237,16.000,0.221,48286.376,0.000,0.224,0.000,0.000,0.000,0.000
ENSP00000250263,32.000,0.224,51315.320,0.000,0.227,0.000,0.000,0.000,0.000
ENSP00000250340,12.000,0.211,12927.060,0.000,0.213,0.000,0.000,0.000,0.000
ENSP00000250378,134.000,0.261,355873.836,0.000,0.270,0.000,0.000,0.000,0.000
ENSP00000250405,38.000,0.230,45248.293,0.000,0.235,0.000,0.000,0.000,0.000
ENSP00000250416,18.000,0.214,811.689,0.000,0.216,0.000,0.000,0.000,0.000
ENSP00000250448,34.000,0.244,110462.540,0.000,0.249,0.000,0.000,0.000,0.000
ENSP00000250454,26.000,0.215,8283.216,0.000,0.218,0.000,0.000,0.000,0.000
ENSP00000250457,284.000,0.289,2718469.565,0.005,0.303,0.005,0.005,0.001,0.001
ENSP00000250495,198.000,0.284,963172.542,0.001,0.296,0.001,0.001,0.001,0.001
ENSP00000250498,194.000,0.284,915149.876,0.001,0.296,0.001,0.001,0.001,0.001
ENSP00000250535,28.000,0.243,31611.499,0.000,0.248,0.000,0.000,0.000,0.000
ENSP00000250559,18.000,0.225,28023.272,0.000,0.228,0.000,0.000,0.000,0.000
ENSP00000250615,198.000,0.284,963172.542,0.001,0.296,0.001,0.001,0.001,0.001
ENSP00000250617,14.000,0.198,84438.269,0.000,0.199,0.000,0.000,0.000,0.000
ENSP00000250784,24.000,0.215,87598.640,0.000,0.219,0.000,0.000,0.000,0.000
ENSP00000250823,4.000,0.165,0.000,0.000,0.164,0.000,0.000,0.000,0.000
ENSP00000250825,18.000,0.211,24919.670,0.000,0.213,0.000,0.000,0.000,0.000
ENSP00000250831,6.000,0.165,25334.000,0.000,0.164,0.000,0.000,0.000,0.000
ENSP00000250863,54.000,0.238,214608.309,0.000,0.243,0.000,0.000,0.000,0.000
ENSP00000250896,46.000,0.207,280647.466,0.000,0.209,0.000,0.000,0.000,0.000
ENSP00000251020,16.000,0.211,23325.778,0.000,0.213,0.000,0.000,0.000,0.000
ENSP00000251038,10.000,0.209,1301.582,0.000,0.211,0.000,0.000,0.000,0.000
ENSP00000251047,28.000,0.254,97958.829,0.001,0.261,0.001,0.001,0.000,0.000
ENSP00000251089,18.000,0.224,11538.431,0.000,0.227,0.000,0.000,0.000,0.000
ENSP00000251102,26.000,0.239,44093.953,0.001,0.244,0.001,0.001,0.000,0.000
ENSP00000251119,74.000,0.217,15657.829,0.000,0.220,0.000,0.000,0.000,0.000
ENSP00000251127,22.000,0.223,7817.792,0.000,0.226,0.000,0.000,0.000,0.000
ENSP00000251143,14.000,0.247,2388.853,0.012,0.256,0.012,0.012,0.000,0.000
ENSP00000251157,92.000,0.258,176365.241,0.001,0.267,0.001,0.001,0.000,0.000
ENSP00000251170,58.000,0.251,195936.739,0.013,0.261,0.013,0.013,0.000,0.000
ENSP00000251203,98.000,0.265,160065.839,0.001,0.274,0.001,0.001,0.000,0.000
ENSP00000251241,84.000,0.231,99772.716,0.004,0.239,0.004,0.004,0.000,0.000
ENSP00000251268,304.000,0.258,303141.250,0.018,0.273,0.018,0.018,0.000,0.000
ENSP00000251303,248.000,0.248,46522.551,0.012,0.261,0.012,0.012,0.000,0.000
ENSP00000251337,160.000,0.240,12152.298,0.005,0.250,0.005,0.005,0.000,0.000
ENSP00000251363,222.000,0.250,54990.959,0.006,0.261,0.006,0.006,0.000,0.000
ENSP00000251372,216.000,0.249,110194.164,0.008,0.262,0.008,0.008,0.000,0.000
ENSP00000251412,294.000,0.250,115408.224,0.009,0.264,0.009,0.009,0.000,0.000
ENSP00000251413,106.000,0.233,635.002,0.004,0.242,0.004,0.004,0.000,0.000
ENSP00000251496,130.000,0.237,2639.926,0.005,0.246,0.005,0.005,0.000,0.000
ENSP00000251566,42.000,0.213,69295.008,0.000,0.218,0.000,0.000,0.000,0.000
ENSP00000251582,110.000,0.236,32256.453,0.004,0.245,0.004,0.004,0.000,0.000
ENSP00000251588,80.000,0.232,18779.546,0.004,0.239,0.004,0.004,0.000,0.000
ENSP00000251595,116.000,0.235,6255.773,0.005,0.245,0.005,0.005,0.000,0.000
ENSP00000251607,202.000,0.244,22970.168,0.008,0.255,0.008,0.008,0.000,0.000
ENSP00000251636,270.000,0.249,52432.135,0.009,0.262,0.009,0.009,0.000,0.000
ENSP00000251642,288.000,0.250,106632.674,0.009,0.264,0.009,0.009,0.000,0.000
ENSP00000251691,232.000,0.256,114382.717,0.006,0.268,0.006,0.006,0.000,0.000
ENSP00000251768,76.000,0.240,189192.710,0.004,0.247,0.004,0.004,0.000,0.000
ENSP00000251775,174.000,0.242,12102.109,0.007,0.253,0.007,0.007,0.000,0.000
ENSP00000251810,222.000,0.245,130849.826,0.008,0.257,0.008,0.008,0.000,0.000
ENSP00000251864,74.000,0.229,0.000,0.004,0.236,0.004,0.004,0.000,0.000
ENSP00000251871,382.000,0.275,1344697.032,0.272,0.294,0.272,0.272,0.000,0.000
ENSP00000251900,20.000,0.213,22792.229,0.000,0.218,0.000,0.000,0.000,0.000
ENSP00000251968,160.000,0.240,31283.288,0.005,0.250,0.005,0.005,0.000,0.000
ENSP00000251993,132.000,0.242,41838.609,0.005,0.251,0.005,0.005,0.000,0.000
ENSP00000252011,8.000,0.205,3900.010,0.000,0.207,0.000,0.000,0.000,0.000
ENSP00000252015,190.000,0.243,18658.386,0.008,0.254,0.008,0.008,0.000,0.000
ENSP00000252037,236.000,0.256,203910.348,0.006,0.268,0.006,0.006,0.000,0.000
ENSP00000252050,216.000,0.246,66249.599,0.008,0.258,0.008,0.008,0.000,0.000
ENSP00000252071,160.000,0.243,63029.470,0.006,0.253,0.006,0.006,0.000,0.000
ENSP00000252100,282.000,0.255,215790.260,0.010,0.269,0.010,0.010,0.000,0.000
ENSP00000252102,308.000,0.255,200348.515,0.009,0.269,0.009,0.009,0.000,0.000
ENSP00000252137,248.000,0.253,249824.365,0.009,0.267,0.009,0.009,0.000,0.000
ENSP00000252229,8.000,0.195,52966.711,0.000,0.196,0.000,0.000,0.000,0.000
ENSP00000252242,74.000,0.229,0.000,0.004,0.236,0.004,0.004,0.000,0.000
ENSP00000252244,110.000,0.232,1180.452,0.004,0.241,0.004,0.004,0.000,0.000
ENSP00000252268,110.000,0.235,31607.780,0.004,0.244,0.004,0.004,0.000,0.000
ENSP00000252318,292.000,0.252,282666.959,0.009,0.268,0.009,0.009,0.000,0.000
ENSP00000252321,254.000,0.249,58900.676,0.009,0.262,0.009,0.009,0.000,0.000
ENSP00000252456,268.000,0.249,76460.541,0.009,0.263,0.009,0.009,0.000,0.000
ENSP00000252482,304.000,0.262,648226.268,0.007,0.276,0.007,0.007,0.000,0.000
ENSP00000252483,168.000,0.241,28585.588,0.005,0.252,0.005,0.005,0.000,0.000
ENSP00000252486,218.000,0.253,170563.331,0.006,0.264,0.006,0.006,0.000,0.000
ENSP00000252506,160.000,0.239,5856.310,0.005,0.249,0.005,0.005,0.000,0.000
ENSP00000252512,226.000,0.246,23872.336,0.008,0.258,0.008,0.008,0.000,0.000
ENSP00000252542,84.000,0.234,14.902,0.004,0.242,0.004,0.004,0.000,0.000
